order_number,customer_name,machine_id,article,quantity,status,planned_start,planned_end,priority,erp_source,last_sync
PO-2025-0001,Müller Dairy,MCH-1001,Yogurt Cup 250g,12000,PLANNED,2025-05-20 06:00:00,2025-05-20 14:00:00,HIGH,PSIpenta8,2025-05-10 08:00:00
PO-2025-0002,AlpenMilk GmbH,MCH-1002,Milk Bottle 1L,8000,IN_PROGRESS,2025-05-20 07:00:00,2025-05-20 15:00:00,MEDIUM,PSIpenta8,2025-05-10 08:05:00
PO-2025-0003,FreshFood AG,MCH-1003,Cream Cheese 500g,5000,COMPLETED,2025-05-19 08:00:00,2025-05-19 13:00:00,LOW,PSIpenta8,2025-05-10 08:10:00
PO-2025-0004,Nordic Dairy,MCH-1001,Greek Yogurt 150g,15000,PLANNED,2025-05-21 06:00:00,2025-05-21 16:00:00,HIGH,PSIpenta8,2025-05-10 08:15:00
PO-2025-0005,FoodPack Solutions,MCH-1004,Protein Drink 500ml,9000,IN_PROGRESS,2025-05-20 09:00:00,2025-05-20 18:00:00,MEDIUM,PSIpenta8,2025-05-10 08:20:00
PO-2025-0006,Bayern Foods,MCH-1005,Vanilla Pudding 200g,7000,PLANNED,2025-05-22 05:30:00,2025-05-22 12:00:00,LOW,PSIpenta8,2025-05-10 08:25:00
PO-2025-0007,SwissMilk AG,MCH-1002,Chocolate Milk 1L,11000,FAILED,2025-05-19 10:00:00,2025-05-19 17:00:00,HIGH,PSIpenta8,2025-05-10 08:30:00
PO-2025-0008,GreenFarm Foods,MCH-1003,Organic Yogurt 300g,6500,COMPLETED,2025-05-18 06:30:00,2025-05-18 11:00:00,MEDIUM,PSIpenta8,2025-05-10 08:35:00
PO-2025-0009,AlpenMilk GmbH,MCH-1004,Strawberry Yogurt 250g,14000,PLANNED,2025-05-23 07:00:00,2025-05-23 15:30:00,HIGH,PSIpenta8,2025-05-10 08:40:00
PO-2025-0010,FreshFood AG,MCH-1005,Ice Coffee Drink 330ml,10000,IN_PROGRESS,2025-05-20 11:00:00,2025-05-20 20:00:00,MEDIUM,PSIpenta8,2025-05-10 08:45:00
